czas;code;val_num;val_str;val_combined
2026-08-24 01:18:25;freeze;;False;"0;0"
2026-08-24 01:18:25;defrost;;False;"0;0"
2026-08-24 01:18:25;dc_fan2;"0;0";;"0;0"
2026-08-24 01:18:51;back_temp;"18;1";;"18;1"
2026-08-24 01:18:51;m_eev;"480;0";;"480;0"
2026-08-24 01:18:51;dc_fan1;"0;0";;"0;0"
2026-08-24 01:19:16;tidr;"23;1";;"23;1"
2026-08-24 01:19:36;a_eev;"10;0";;"10;0"
2026-08-24 01:19:36;tank_temp;"43;7";;"43;7"
2026-08-24 01:20:04;out_water_temp;"19;7";;"19;7"
2026-08-24 01:20:28;pump_sta;;False;"0;0"
2026-08-24 01:20:28;flow_rate;"0;0";;"0;0"
2026-08-24 01:20:28;valve;;False;"0;0"
2026-08-24 01:21:37;in_water_temp;"18;6";;"18;6"
2026-08-24 01:22:20;disc_temp;"19;3";;"19;3"
2026-08-24 01:23:11;comp_freq;"0;0";;"0;0"
2026-08-24 01:23:11;amb_temp;"12;3";;"12;3"
2026-08-24 01:23:11;ac_curr;"0;0";;"0;0"
2026-08-24 01:23:33;fault_flag;;False;"0;0"
2026-08-24 01:23:33;protect_flag;;False;"0;0"
2026-08-24 01:23:33;ac_fan;;close;
2026-08-24 01:23:33;freeze;;False;"0;0"
2026-08-24 01:23:33;defrost;;False;"0;0"
2026-08-24 01:23:33;dc_fan2;"0;0";;"0;0"
2026-08-24 01:23:52;back_temp;"17;9";;"17;9"
2026-08-24 01:23:52;m_eev;"480;0";;"480;0"
2026-08-24 01:23:52;dc_fan1;"0;0";;"0;0"
2026-08-24 01:24:17;tidr;"23;1";;"23;1"
2026-08-24 01:24:38;a_eev;"10;0";;"10;0"
2026-08-24 01:24:38;tank_temp;"43;6";;"43;6"
2026-08-24 01:25:05;out_water_temp;"19;6";;"19;6"
2026-08-24 01:25:28;pump_sta;;False;"0;0"
2026-08-24 01:25:28;flow_rate;"0;0";;"0;0"
2026-08-24 01:25:28;valve;;False;"0;0"
2026-08-24 01:26:04;tidr;"23;0";;"23;0"
2026-08-24 01:26:44;in_water_temp;"18;5";;"18;5"
2026-08-24 01:27:30;disc_temp;"19;3";;"19;3"
2026-08-24 01:27:47;tidr;"23;1";;"23;1"
2026-08-24 01:27:53;out_water_temp;"19;4";;"19;4"
2026-08-24 01:28:12;comp_freq;"0;0";;"0;0"
2026-08-24 01:28:12;amb_temp;"12;3";;"12;3"
